电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
Squid Game: Making Season 2,2025,,Documentary,28,84,Korean,,,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",Overview
Inception,2010,,Action,148,84,"$160,000,000.00",Christopher Nolan,,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.
Lucy Shimmers and the Prince of Peace,2020,,Drama,87,84,-,Rob Diamond,,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,Overview
High and Low,1963,,Drama,142,84,Japanese,Akira Kurosawa,Evan Hunter,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,"Stark, intense drama almost beyond belief!"
Chainsaw Man - The Movie: Reze Arc,2025,,Animation,100,84,Japanese,Tatsuya Yoshihara,Hiroshi Seko,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.","Lost Love, Flower, Chainsaw."
Gabriel's Inferno: Part II,2020,,Romance,106,83,-,Tosca Musk,Sylvain Reynard,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",Overview
The Silence of the Lambs,1991,,Crime,119,83,"$19,000,000.00",Jonathan Demme,Thomas Harris,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",To enter the mind of a killer she must challenge the mind of a madman.
Gabriel's Inferno: Part III,2020,,Romance,102,83,-,Tosca Musk,Sylvain Reynard,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,Overview
Burn the Stage: The Movie,2018,,Music,85,83,Korean,Park Jun-soo,,"Burn the Stage: the Movie is the first movie from BTS, going behind-the-scenes of the BTS WINGS TOUR to reveal the full story of the band’s meteoric rise to fame. This unmissable film provides an intimate look at what happens when the most successful global boy band of all time breaks down barriers and invades the mainstream music scene. Exclusive tour footage and brand-new one-on-one interviews with BTS members give fans an unprecedented glimpse into their lives and an opportunity for everyone to celebrate together worldwide.","From the deserts to the seas, we were always together."
Rear Window,1954,,Thriller,112,83,"$1,000,000.00",Alfred Hitchcock,John Michael Hayes,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,It only takes one witness to spoil the perfect crime.
Spider-Man: Across the Spider-Verse,2023,,Animation,140,83,"$100,000,000.00",Joaquim Dos Santos,Justin K. Thompson,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",It's how you wear the mask that matters.
